        	        	        	        	        	        	EARNINGS	        	        	        	        	
    4.52	   -4.94	   -1.95	   -0.66	   -2.67	   -2.74	    3.52	    1.09	    0.40	    4.56	    0.64	
   -7.09	    1.53	    6.02	    7.80	   -7.24	    0.71	    2.11	    5.52	    3.27	   -2.53	   -1.95	
    0.09	    0.23	   -3.29	    3.09	   -1.06	   -5.81	    6.25	    6.04	   -1.32	   -3.02	   -2.79	
    1.62	    2.59	   -3.34	    2.29	   -0.02	    1.31	   -0.43	    0.12	   -0.51	   -2.85	   -2.68	
  -16.97	  -23.76	  -18.84	  -19.64	  -13.33	   -3.85	    9.33	  -15.85	  -15.94	   -1.72	  145.61	
  -30.63	    0.00	   -5.19	   -8.22	   -8.96	   -3.28	  138.98	   -9.22	   -7.81	   11.86	  -13.64	
   -4.13	   -2.76	    3.64	   -2.38	   -0.22	   -0.30	    1.92	   -3.22	   -2.63	   -2.90	    2.95	
    1.55	    0.69	   -4.31	   -7.39	    3.19	    2.64	   -2.61	   -0.23	   -0.68	    1.37	   -5.52	
   -0.81	    0.56	    5.06	    5.56	   -4.46	   -3.97	    3.23	   -0.35	    1.80	   -2.91	   -0.96	
    2.46	    3.09	    1.67	   -1.97	   -0.17	   -4.19	    0.00	   -1.22	   -4.42	   -2.96	    1.91	
    0.17	   -2.18	    1.03	   -0.17	   -0.68	    2.05	    4.52	   -1.92	   -5.23	    0.34	    1.72	
   -0.17	    4.80	   -1.15	   -0.99	   -3.85	   -1.22	    0.18	   -5.98	   -1.50	    0.38	   -1.13	
    4.01	   -5.63	   -1.53	    1.73	   -0.34	    2.39	    2.67	    1.79	   -2.23	   -2.28	   -4.01	
    1.14	    6.76	    8.05	    1.83	   -0.60	   -3.98	   -5.65	   -4.93	   -0.28	   -1.26	    2.28	
   21.49	    3.93	   18.20	    4.80	    7.06	   -0.18	    9.46	   14.68	    2.42	   -5.00	    8.19	
   -0.72	    3.26	   -5.61	    3.72	    0.36	   -2.14	    2.92	   13.48	   23.44	    8.61	   13.29	
    3.51	   -1.63	   -4.85	    5.23	   -2.04	    2.34	   -2.29	   -1.04	   -2.76	    0.41	   -4.31	
    0.00	   -4.36	    5.13	    3.39	   -4.46	    2.74	    5.87	   -0.63	   -1.52	   -1.80	   -0.13	
    1.89	    2.41	    5.45	   -0.25	    1.12	   -7.48	   -1.79	   -7.85	    2.58	   -3.45	   -1.03	
   -0.41	    2.28	   -6.57	   -1.72	    5.35	    2.40	   -0.36	   -3.35	   -7.21	   -7.67	   -2.30	
    5.07	    3.71	   -1.19	    2.99	   12.15	   -1.34	    0.60	   -6.56	   -1.18	   -0.98	   -3.56	
    0.89	   -0.88	    0.00	    2.68	    0.00	    2.61	   -3.39	    2.63	    0.85	   -1.69	    2.59	
    0.00	    0.00	    0.91	    1.80	    0.00	    1.77	    0.00	   -1.74	   -0.88	    0.89	   -0.88	
    0.00	   -1.67	    0.85	    0.00	    2.52	    1.64	   -1.61	   -1.64	    1.67	    0.00	    0.82	
    1.11	    1.24	   -3.39	    4.63	   -1.34	   -2.72	    4.20	    5.23	   -4.97	   -1.21	   -2.58	
