        	        	        	        	        	        	EARNINGS	        	        	        	        	
    0.88	    1.18	    0.88	    0.29	    0.59	   -2.65	   -0.88	   -2.95	   -5.01	   -4.42	   -4.13	
   -4.62	   -2.31	   -7.92	   -8.25	   -8.25	   -9.57	   -9.57	  -12.54	   -5.61	   -8.58	   -8.25	
    0.36	   -2.89	   10.11	   16.61	   17.69	   19.86	   21.66	   19.49	   19.86	   23.47	   27.44	
    0.97	   15.22	   38.89	   36.71	   32.37	   17.87	   25.12	   16.43	   21.01	   18.12	   14.98	
   -2.22	    0.67	   -5.78	   -7.56	   -2.89	  -11.56	   -8.44	   -6.22	   -6.00	   20.67	   46.22	
   -1.46	    0.00	    1.93	    1.72	    0.13	   -4.12	   -4.76	    0.17	    0.90	   12.49	   13.26	
    0.69	   -1.43	   -6.56	   -3.46	   -5.97	   -3.60	   -4.00	   11.99	   13.03	   18.07	   17.42	
  -46.66	  -84.19	  -79.64	  -73.10	  -51.52	  -51.67	  -53.80	  -67.17	  -62.46	  -62.31	  -62.77	
  -17.53	  -25.15	  -51.13	  -66.60	  -88.45	  -86.98	  -87.55	  -88.69	  -91.55	  -94.69	  -96.73	
  -57.58	  -69.55	  -76.52	  -80.30	  -85.00	  -89.03	  -91.34	  -93.87	  -95.02	  -95.74	  -96.21	
    4.10	   42.62	   36.89	   65.57	   44.26	   49.18	   49.18	   50.82	   50.00	   52.46	   44.26	
   -0.86	   12.07	    2.59	   -2.59	   -6.03	   16.38	   14.66	   10.34	   35.34	   80.17	   58.62	
    2.45	   10.43	    1.23	   -9.82	  -16.56	  -17.18	  -31.29	  -38.65	  -39.88	  -39.26	  -30.67	
   -0.66	   -7.89	   -3.29	  -11.84	    0.00	   11.84	   24.34	   15.13	   13.16	    9.87	    9.21	
   -2.27	   -6.25	   -5.68	   -8.52	   -7.95	   -9.09	   -7.95	   -5.68	   -7.95	   -6.25	   -9.66	
    5.77	   16.67	   20.51	   10.26	    7.69	   -0.64	   -5.13	    0.00	    0.00	    8.33	   10.26	
   -4.39	   -5.89	  -19.78	  -26.61	  -34.17	  -18.50	  -18.78	  -17.94	  -17.78	  -25.17	  -36.17	
  -12.25	   -5.34	  -11.07	  -11.46	  -11.86	  -12.65	  -27.08	  -52.37	  -56.72	  -57.71	  -53.95	
    0.77	    2.23	   -5.50	  -17.40	  -22.62	  -31.52	  -44.12	  -51.15	  -53.24	  -59.85	  -62.49	
    1.81	    0.00	   -3.99	   -8.33	    0.36	   -6.16	    2.90	   -2.90	   -5.80	   -6.16	   -5.43	
   10.19	    1.94	    3.40	    0.49	   -1.46	  -11.65	   -6.31	   -9.71	   -3.88	    5.34	    1.94	
   -5.63	   -8.45	   -8.80	   -8.10	   -8.80	  -10.92	   -8.80	  -12.68	  -13.38	  -13.73	  -17.96	
    0.71	    5.35	    4.81	   -1.43	  -10.16	  -20.68	  -13.01	  -15.69	  -17.83	  -17.83	  -12.30	
   -5.24	   -6.05	   -7.66	   -7.06	    3.02	   12.90	    5.65	   11.90	    5.85	    8.06	    1.21	
    1.14	    5.14	    8.57	    4.00	   -4.00	   -4.57	   -2.86	   -0.57	   -1.14	   -2.86	   -5.71	
    0.72	  -10.79	   -7.19	   -3.60	   -2.16	   29.50	   27.34	   25.90	   23.74	   26.62	   33.09	
   -0.56	   11.17	   10.06	   15.64	   14.53	   10.61	    4.47	   18.99	   12.85	   11.73	    8.94	
    2.30	    0.61	   -0.80	   -1.86	    1.54	    0.95	    0.95	    0.36	    2.37	    3.73	    2.03	
    3.64	    1.02	   -0.34	    1.05	    0.95	    0.82	   -3.14	   -1.43	   -3.82	   -5.46	   -3.55	
   -0.61	   -0.30	    3.54	    4.52	    4.13	    6.15	    7.21	    6.15	    5.17	    6.22	    9.18	
    4.03	    5.30	   -0.19	    4.54	    4.54	    4.60	    3.96	    3.00	    2.68	   -0.70	   -2.88	
    2.33	   -3.40	   -0.06	   -2.02	   -5.86	   -1.70	    0.00	    2.84	    1.95	   -2.58	   -0.25	
