        	        	        	        	        	        	EARNINGS	        	        	        	        	
   -4.62	    2.42	   -5.74	   -0.36	    0.00	   -1.44	    0.00	   -3.28	    7.92	   -3.15	    0.36	
    0.36	   -3.24	   13.38	    5.90	    0.93	    1.84	    1.51	   -1.78	    0.30	    3.01	    3.22	
    0.88	    0.29	   -0.29	   -0.58	    0.29	   -3.23	    1.82	   -2.08	   -2.13	    0.62	    0.31	
   -2.22	    2.95	   -6.40	   -1.89	    5.05	   -8.92	    3.52	    2.43	    0.24	   28.37	   21.18	
    0.97	   14.11	   20.55	   -1.57	   -3.18	  -10.95	    6.15	   -6.95	    3.94	   -2.40	   -2.66	
   -1.46	    1.48	    1.93	   -0.21	   -1.56	   -4.24	   -0.67	    5.18	    0.73	   11.48	    0.69	
    0.69	   -2.11	   -5.21	    3.33	   -2.61	    2.52	   -0.41	   16.66	    0.93	    4.45	   -0.54	
  -17.53	   -9.25	  -34.71	  -31.65	  -65.43	   12.72	   -4.36	   -9.11	  -25.28	  -37.20	  -38.35	
  -46.66	  -70.37	   28.85	   32.09	   80.23	   -0.31	   -4.40	  -28.95	   14.35	    0.40	   -1.21	
  -57.58	  -28.21	  -22.89	  -16.13	  -23.85	  -26.84	  -21.10	  -29.25	  -18.73	  -14.35	  -11.17	
   -0.86	   13.04	   -8.46	   -5.04	   -3.54	   23.85	   -1.48	   -3.76	   22.66	   33.12	  -11.96	
    4.10	   37.01	   -4.02	   20.96	  -12.87	    3.41	    0.00	    1.10	   -0.54	    1.64	   -5.38	
    2.45	    7.78	   -8.33	  -10.91	   -7.48	   -0.74	  -17.04	  -10.71	   -2.00	    1.02	   14.14	
    5.77	   10.30	    3.30	   -8.51	   -2.33	   -7.74	   -4.52	    5.41	    0.00	    8.33	    1.78	
   -0.66	   -7.28	    5.00	   -8.84	   13.43	   11.84	   11.18	   -7.41	   -1.71	   -2.91	   -0.60	
